"sex","age","address","famsize","Pstatus","Medu","Fedu","Mjob","Fjob","reason","nursery","internet","school","guardian","traveltime","studytime","failures","schoolsup","famsup","paid","activities","higher","romantic","famrel","freetime","goout","Dalc","Walc","health","absences","G1","G2","G3","alc_use","high_use"
"1","F",18,"U","GT3","A",4,4,"at_home","teacher","course","yes","no","GP","mother",2,2,0,"yes","no","no","no","yes","no",4,3,4,1,1,3,5,2,8,8,1,FALSE
"2","F",17,"U","GT3","T",1,1,"at_home","other","course","no","yes","GP","father",1,2,0,"no","yes","no","no","yes","no",5,3,3,1,1,3,3,7,8,8,1,FALSE
"3","F",15,"U","LE3","T",1,1,"at_home","other","other","yes","yes","GP","mother",1,2,2,"yes","no","yes","no","yes","no",4,3,2,2,3,3,8,10,10,11,2.5,TRUE
"4","F",15,"U","GT3","T",4,2,"health","services","home","yes","yes","GP","mother",1,3,0,"no","yes","yes","yes","yes","yes",3,2,2,1,1,5,1,14,14,14,1,FALSE
"5","F",16,"U","GT3","T",3,3,"other","other","home","yes","no","GP","father",1,2,0,"no","yes","yes","no","yes","no",4,3,2,1,2,5,2,8,12,12,1.5,FALSE
"6","M",16,"U","LE3","T",4,3,"services","other","reputation","yes","yes","GP","mother",1,2,0,"no","yes","yes","yes","yes","no",5,4,2,1,2,5,8,14,14,14,1.5,FALSE
"7","M",16,"U","LE3","T",2,2,"other","other","home","yes","yes","GP","mother",1,2,0,"no","no","no","no","yes","no",4,4,4,1,1,3,0,12,12,12,1,FALSE
"8","F",17,"U","GT3","A",4,4,"other","teacher","home","yes","no","GP","mother",2,2,0,"yes","yes","no","no","yes","no",4,1,4,1,1,1,4,8,9,10,1,FALSE
"9","M",15,"U","LE3","A",3,2,"services","other","home","yes","yes","GP","mother",1,2,0,"no","yes","yes","no","yes","no",4,2,2,1,1,1,0,16,17,18,1,FALSE
"10","M",15,"U","GT3","T",3,4,"other","other","home","yes","yes","GP","mother",1,2,0,"no","yes","yes","yes","yes","no",5,5,1,1,1,5,0,13,14,14,1,FALSE
"11","F",15,"U","GT3","T",4,4,"teacher","health","reputation","yes","yes","GP","mother",1,2,0,"no","yes","yes","no","yes","no",3,3,3,1,2,2,1,12,11,12,1.5,FALSE
"12","F",15,"U","GT3","T",2,1,"services","other","reputation","yes","yes","GP","father",3,3,0,"no","yes","no","yes","yes","no",5,2,2,1,1,4,2,10,12,12,1,FALSE
"13","M",15,"U","LE3","T",4,4,"health","services","course","yes","yes","GP","father",1,1,0,"no","yes","yes","yes","yes","no",4,3,3,1,3,5,1,13,14,13,2,FALSE
"14","M",15,"U","GT3","T",4,3,"teacher","other","course","yes","yes","GP","mother",2,2,0,"no","yes","yes","no","yes","no",5,4,3,1,2,3,1,11,11,12,1.5,FALSE
"15","M",15,"U","GT3","A",2,2,"other","other","home","yes","yes","GP","other",1,3,0,"no","yes","no","no","yes","yes",4,5,2,1,1,3,0,14,15,16,1,FALSE
"16","F",16,"U","GT3","T",4,4,"health","other","home","yes","yes","GP","mother",1,1,0,"no","yes","no","no","yes","no",4,4,4,1,2,2,5,16,16,16,1.5,FALSE
"17","F",16,"U","GT3","T",4,4,"services","services","reputation","yes","yes","GP","mother",1,3,0,"no","yes","yes","yes","yes","no",3,2,3,1,2,2,8,13,14,14,1.5,FALSE
